;Mixture;x1;x2;SMILES1;SMILES2;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Mixture Count emv binary;Mixture Count all
120;1-propanol__diethylene glycol monohexyl ether;1-propanol;diethylene glycol monohexyl ether;CCCO;CCCCCCOCCOCCO;90.0;0.0;90.0;0.0;0.0;0.0;0.0;180.0
121;methanol__diethylene glycol monohexyl ether;methanol;diethylene glycol monohexyl ether;CO;CCCCCCOCCOCCO;90.0;0.0;90.0;0.0;0.0;0.0;0.0;180.0
53;cyclohexylmethanol__water;cyclohexylmethanol;water;OCC1CCCCC1;O;176.0;0.0;0.0;0.0;0.0;0.0;0.0;176.0
54;2-cyclohexylethanol__water;2-cyclohexylethanol;water;OCCC1CCCCC1;O;175.0;0.0;0.0;0.0;0.0;0.0;0.0;175.0
221;1-butanol__hexane;1-butanol;hexane;CCCCO;CCCCCC;60.0;0.0;60.0;0.0;23.0;0.0;31.0;174.0
56;diethoxymethane__water;diethoxymethane;water;CCOCOCC;O;173.0;0.0;0.0;0.0;0.0;0.0;0.0;173.0
63;2,5,8-trioxanonane__water;2,5,8-trioxanonane;water;COCCOCCOC;O;154.0;0.0;18.0;0.0;0.0;0.0;0.0;172.0
133;1-heptanol__diethylene glycol monohexyl ether;1-heptanol;diethylene glycol monohexyl ether;CCCCCCCO;CCCCCCOCCOCCO;85.0;0.0;85.0;0.0;0.0;0.0;0.0;170.0
65;ethanol__2,2,4-trimethylpentane;ethanol;2,2,4-trimethylpentane;CCO;CC(C)CC(C)(C)C;150.0;0.0;0.0;0.0;19.0;0.0;0.0;169.0
67;2-(2-butoxyethoxy)ethanol__water;2-(2-butoxyethoxy)ethanol;water;CCCCOCCOCCO;O;145.0;0.0;22.0;0.0;0.0;0.0;0.0;167.0
59;pentaerythritol__water;pentaerythritol;water;OCC(CO)(CO)CO;O;165.0;0.0;0.0;0.0;0.0;0.0;0.0;165.0
155;2-propanol__cyclohexane;2-propanol;cyclohexane;CC(C)O;C1CCCCC1;78.0;0.0;78.0;0.0;9.0;0.0;0.0;165.0
151;1-decanol__1-butoxy-2-propanol;1-decanol;1-butoxy-2-propanol;CCCCCCCCCCO;CCCCOCC(C)O;80.0;0.0;80.0;0.0;0.0;0.0;0.0;160.0
150;1-octanol__1-butoxy-2-propanol;1-octanol;1-butoxy-2-propanol;CCCCCCCCO;CCCCOCC(C)O;80.0;0.0;80.0;0.0;0.0;0.0;0.0;160.0
149;1-hexanol__1-butoxy-2-propanol;1-hexanol;1-butoxy-2-propanol;CCCCCCO;CCCCOCC(C)O;80.0;0.0;80.0;0.0;0.0;0.0;0.0;160.0
61;2,2-dimethyl-1,3-propanediol__water;2,2-dimethyl-1,3-propanediol;water;CC(C)(CO)CO;O;156.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0
62;cyclooctanol__water;cyclooctanol;water;OC1CCCCCCC1;O;156.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0
163;toluene__2,2,4-trimethylpentane;toluene;2,2,4-trimethylpentane;Cc1ccccc1;CC(C)CC(C)(C)C;77.0;0.0;77.0;0.0;0.0;0.0;0.0;154.0
64;methanol__methyl tert-butyl ether;methanol;methyl tert-butyl ether;CO;COC(C)(C)C;151.0;0.0;0.0;0.0;0.0;0.0;0.0;151.0
88;ethanol__cyclohexane;ethanol;cyclohexane;CCO;C1CCCCC1;111.0;0.0;39.0;0.0;0.0;0.0;0.0;150.0
173;dibutyl ether__ethanol, 2-propoxy-;dibutyl ether;ethanol, 2-propoxy-;CCCCOCCCC;CCCOCCO;73.0;0.0;73.0;0.0;0.0;0.0;0.0;146.0
250;butan-1-ol__butane, 1,4-dihydroxy-;butan-1-ol;butane, 1,4-dihydroxy-;CCCCO;OCCCCO;50.0;0.0;54.0;0.0;0.0;0.0;40.0;144.0
176;ethanol__isooctane;ethanol;isooctane;CCO;CCCCCC(C)C;72.0;0.0;72.0;0.0;0.0;0.0;0.0;144.0
69;2-propanol__methyl tert-butyl ether;2-propanol;methyl tert-butyl ether;CC(C)O;COC(C)(C)C;144.0;0.0;0.0;0.0;0.0;0.0;0.0;144.0
68;butan-1-ol__methyl tert-butyl ether;butan-1-ol;methyl tert-butyl ether;CCCCO;COC(C)(C)C;144.0;0.0;0.0;0.0;0.0;0.0;0.0;144.0
182;2-propanol__2-butoxyethanol;2-propanol;2-butoxyethanol;CC(C)O;CCCCOCCO;70.0;0.0;70.0;0.0;0.0;0.0;0.0;140.0
177;2-butanol__2-butoxyethanol;2-butanol;2-butoxyethanol;CCC(C)O;CCCCOCCO;70.0;0.0;70.0;0.0;0.0;0.0;0.0;140.0
184;1-hexanol__2-butoxyethanol;1-hexanol;2-butoxyethanol;CCCCCCO;CCCCOCCO;70.0;0.0;70.0;0.0;0.0;0.0;0.0;140.0
73;ethanol__methyl tert-butyl ether;ethanol;methyl tert-butyl ether;CCO;COC(C)(C)C;140.0;0.0;0.0;0.0;0.0;0.0;0.0;140.0
71;pentan-1-ol__methyl tert-butyl ether;pentan-1-ol;methyl tert-butyl ether;CCCCCO;COC(C)(C)C;140.0;0.0;0.0;0.0;0.0;0.0;0.0;140.0
72;propan-1-ol__methyl tert-butyl ether;propan-1-ol;methyl tert-butyl ether;CCCO;COC(C)(C)C;140.0;0.0;0.0;0.0;0.0;0.0;0.0;140.0
180;2-butoxyethanol__1-decanol;2-butoxyethanol;1-decanol;CCCCOCCO;CCCCCCCCCCO;70.0;0.0;70.0;0.0;0.0;0.0;0.0;140.0
179;1-butanol__2-butoxyethanol;1-butanol;2-butoxyethanol;CCCCO;CCCCOCCO;70.0;0.0;70.0;0.0;0.0;0.0;0.0;140.0
181;1-propanol__2-butoxyethanol;1-propanol;2-butoxyethanol;CCCO;CCCCOCCO;70.0;0.0;70.0;0.0;0.0;0.0;0.0;140.0
178;2-butoxyethanol__1-octanol;2-butoxyethanol;1-octanol;CCCCOCCO;CCCCCCCCO;70.0;0.0;70.0;0.0;0.0;0.0;0.0;140.0
74;pentylcarbinol__methyl tert-butyl ether;pentylcarbinol;methyl tert-butyl ether;CCCCCCO;COC(C)(C)C;140.0;0.0;0.0;0.0;0.0;0.0;0.0;140.0
75;ribitol__water;ribitol;water;OC[C@@H](O)[C@@H](O)[C@@H](O)CO;O;139.0;0.0;0.0;0.0;0.0;0.0;0.0;139.0
78;3-methylpentane-1,5-diol__water;3-methylpentane-1,5-diol;water;CC(CCO)CCO;O;138.0;0.0;0.0;0.0;0.0;0.0;0.0;138.0
185;nonane__2,5,8-trioxanonane;nonane;2,5,8-trioxanonane;CCCCCCCCC;COCCOCCOC;69.0;0.0;0.0;66.0;0.0;0.0;0.0;135.0
136;benzene__methylcyclohexane;benzene;methylcyclohexane;c1ccccc1;CC1CCCCC1;85.0;0.0;50.0;0.0;0.0;0.0;0.0;135.0
134;methylcyclohexane__toluene;methylcyclohexane;toluene;CC1CCCCC1;Cc1ccccc1;85.0;0.0;50.0;0.0;0.0;0.0;0.0;135.0
85;ethanol__2-methyl-1-butanol;ethanol;2-methyl-1-butanol;CCO;CCC(C)CO;116.0;0.0;18.0;0.0;0.0;0.0;0.0;134.0
235;1-octanol__dibutyl ether;1-octanol;dibutyl ether;CCCCCCCCO;CCCCOCCCC;56.0;0.0;56.0;0.0;22.0;0.0;0.0;134.0
186;1-butanol__methyl tert-butyl ether;1-butanol;methyl tert-butyl ether;CCCCO;COC(C)(C)C;67.0;0.0;66.0;0.0;0.0;0.0;0.0;133.0
115;toluene__cyclohexane;toluene;cyclohexane;Cc1ccccc1;C1CCCCC1;93.0;0.0;39.0;0.0;0.0;0.0;0.0;132.0
207;2-phenylethanol__1,2-butanediol;2-phenylethanol;1,2-butanediol;OCCc1ccccc1;CCC(O)CO;66.0;0.0;66.0;0.0;0.0;0.0;0.0;132.0
203;n-dodecane__1,2,3,4-tetrahydronaphthalene;n-dodecane;1,2,3,4-tetrahydronaphthalene;CCCCCCCCCCCC;C1CCc2ccccc2C1;66.0;0.0;66.0;0.0;0.0;0.0;0.0;132.0
202;1-propanol__tert-butanol;1-propanol;tert-butanol;CCCO;CC(C)(C)O;66.0;0.0;66.0;0.0;0.0;0.0;0.0;132.0
190;benzenemethanol__1,2-butanediol;benzenemethanol;1,2-butanediol;OCc1ccccc1;CCC(O)CO;66.0;0.0;66.0;0.0;0.0;0.0;0.0;132.0
201;1-propanol__1,3-propanediol;1-propanol;1,3-propanediol;CCCO;OCCCO;66.0;0.0;66.0;0.0;0.0;0.0;0.0;132.0
197;1,2-dimethoxyethane__nonane;1,2-dimethoxyethane;nonane;COCCOC;CCCCCCCCC;66.0;0.0;0.0;66.0;0.0;0.0;0.0;132.0
193;tetralin__cetane;tetralin;cetane;C1CCc2ccccc2C1;CCCCCCCCCCCCCCCC;66.0;0.0;66.0;0.0;0.0;0.0;0.0;132.0
194;1,3-butanediol__1,2-butanediol;1,3-butanediol;1,2-butanediol;CC(O)CCO;CCC(O)CO;66.0;0.0;66.0;0.0;0.0;0.0;0.0;132.0
195;2-phenylethanol__1-propanol;2-phenylethanol;1-propanol;OCCc1ccccc1;CCCO;66.0;0.0;66.0;0.0;0.0;0.0;0.0;132.0
196;(RS)-2-butanol__1,2-butanediol;(RS)-2-butanol;1,2-butanediol;CCC(C)O;CCC(O)CO;66.0;0.0;66.0;0.0;0.0;0.0;0.0;132.0
199;2-propanol__1,3-propanediol;2-propanol;1,3-propanediol;CC(C)O;OCCCO;66.0;0.0;66.0;0.0;0.0;0.0;0.0;132.0
200;2-propanol__tert-butanol;2-propanol;tert-butanol;CC(C)O;CC(C)(C)O;66.0;0.0;66.0;0.0;0.0;0.0;0.0;132.0
80;1-propanol__benzene;1-propanol;benzene;CCCO;c1ccccc1;131.0;0.0;0.0;0.0;0.0;0.0;0.0;131.0
233;1-decanol__dibutyl ether;1-decanol;dibutyl ether;CCCCCCCCCCO;CCCCOCCCC;56.0;0.0;56.0;0.0;19.0;0.0;0.0;131.0
232;1-pentanol__dibutyl ether;1-pentanol;dibutyl ether;CCCCCO;CCCCOCCCC;56.0;0.0;56.0;0.0;19.0;0.0;0.0;131.0
864;1-butanol__1,4-butanediol;1-butanol;1,4-butanediol;CCCCO;OCCCCO;0.0;0.0;0.0;0.0;0.0;130.0;0.0;130.0
208;octane__methyl tert-butyl ether;octane;methyl tert-butyl ether;CCCCCCCC;COC(C)(C)C;64.0;0.0;65.0;0.0;0.0;0.0;0.0;129.0
212;1-butanol__2-(2-methoxyethoxy)ethanol;1-butanol;2-(2-methoxyethoxy)ethanol;CCCCO;COCCOCCO;63.0;0.0;63.0;0.0;0.0;0.0;0.0;126.0
220;2-methoxyethanol__2-(2-methoxyethoxy)ethanol;2-methoxyethanol;2-(2-methoxyethoxy)ethanol;COCCO;COCCOCCO;61.0;0.0;61.0;0.0;0.0;0.0;0.0;122.0
132;D(+)-glucose__water;D(+)-glucose;water;OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O;O;86.0;0.0;36.0;0.0;0.0;0.0;0.0;122.0
83;methanol__benzene;methanol;benzene;CO;c1ccccc1;121.0;0.0;0.0;0.0;0.0;0.0;0.0;121.0
84;3,3-bis(hydroxymethyl)heptane__water;3,3-bis(hydroxymethyl)heptane;water;CCCCC(CC)(CO)CO;O;120.0;0.0;0.0;0.0;0.0;0.0;0.0;120.0
223;1-butanol__3,6-dioxa-1-octanol;1-butanol;3,6-dioxa-1-octanol;CCCCO;CCOCCOCCO;60.0;0.0;60.0;0.0;0.0;0.0;0.0;120.0
327;ethanol__hexane;ethanol;hexane;CCO;CCCCCC;39.0;0.0;39.0;0.0;17.0;0.0;23.0;118.0
230;methyl alcohol__1,1'-oxybis[2-ethoxyethane];methyl alcohol;1,1'-oxybis[2-ethoxyethane];CO;CCOCCOCCOCC;57.0;0.0;57.0;0.0;0.0;0.0;0.0;114.0
347;toluene__tetrahydropyran;toluene;tetrahydropyran;Cc1ccccc1;C1CCOCC1;36.0;0.0;50.0;0.0;14.0;0.0;14.0;114.0
349;benzene__tetrahydropyran;benzene;tetrahydropyran;c1ccccc1;C1CCOCC1;36.0;0.0;50.0;0.0;14.0;0.0;14.0;114.0
228;2-methoxyethanol__2-butoxyethanol;2-methoxyethanol;2-butoxyethanol;COCCO;CCCCOCCO;57.0;0.0;57.0;0.0;0.0;0.0;0.0;114.0
87;2,5-hexanediol__water;2,5-hexanediol;water;CC(O)CCC(C)O;O;114.0;0.0;0.0;0.0;0.0;0.0;0.0;114.0
283;1-butanol__octane;1-butanol;octane;CCCCO;CCCCCCCC;48.0;0.0;48.0;0.0;16.0;0.0;0.0;112.0
