;Component;SMILES;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Count emv binary;Count all binary
99;1-(1-butoxyethoxy)ethanol;CCCCOC(C)OC(C)O;145.0;0.0;22.0;0.0;0.0;0.0;0.0;167.0
113;Tetradecane;CCCCCCCCCCCCCC;108.0;0.0;0.0;0.0;59.0;0.0;0.0;167.0
125;1-methoxy-2-(2-methoxypropoxy)propane;COCC(C)OCC(C)OC;83.0;0.0;83.0;0.0;0.0;0.0;0.0;166.0
98;2,2-Dimethylpropane-1,3-diol;CC(C)(CO)CO;156.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0
97;Cyclooctanol;OC1CCCCCCC1;156.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0
105;2-[2-(2-Methoxyethoxy)ethoxy]ethanol;COCCOCCOCCO;129.0;0.0;24.0;0.0;0.0;0.0;0.0;153.0
134;2-[2-(2-hydroxyethoxy)ethoxy]ethanol;OCCOCCOCCO;65.0;47.0;0.0;39.0;0.0;0.0;0.0;151.0
101;3-METHYLPENTANE-1,5-DIOL;CC(CCO)CCO;138.0;0.0;0.0;0.0;0.0;0.0;0.0;138.0
119;hexan-2-ol;CCCCC(C)O;90.0;0.0;42.0;0.0;0.0;0.0;0.0;132.0
104;Octadecane;CCCCCCCCCCCCCCCCCC;130.0;0.0;0.0;0.0;0.0;0.0;0.0;130.0
106;(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol;OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO;128.0;0.0;0.0;0.0;0.0;0.0;0.0;128.0
121;(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol;OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O;86.0;0.0;36.0;0.0;0.0;0.0;0.0;122.0
108;2-butyl-2-ethylpropane-1,3-diol;CCCCC(CC)(CO)CO;120.0;0.0;0.0;0.0;0.0;0.0;0.0;120.0
151;2-Methyloxolane;CC1CCCO1;27.0;0.0;45.0;0.0;44.0;0.0;0.0;116.0
112;hexane-2,5-diol;CC(O)CCC(C)O;114.0;0.0;0.0;0.0;0.0;0.0;0.0;114.0
130;octan-2-ol;CCCCCCC(C)O;68.0;0.0;42.0;0.0;0.0;0.0;0.0;110.0
129;1,2-Bis(2-methoxyethoxy)ethane;COCCOCCOCCOC;75.0;0.0;0.0;33.0;0.0;0.0;0.0;108.0
127;2-Methylpropane;CC(C)C;80.0;21.0;0.0;0.0;0.0;0.0;0.0;101.0
137;(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol;OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O;50.0;0.0;50.0;0.0;0.0;0.0;0.0;100.0
174;Methoxymethane;COC;0.0;23.0;0.0;0.0;76.0;0.0;0.0;99.0
126;2-[2-(2-ethoxyethoxy)ethoxy]ethanol;CCOCCOCCOCCO;82.0;0.0;0.0;0.0;17.0;0.0;0.0;99.0
138;2-(2-Butoxyethoxy)ethanol;CCCCOCCOCCO;48.0;0.0;48.0;0.0;0.0;0.0;0.0;96.0
115;(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol;OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO;91.0;0.0;0.0;0.0;0.0;0.0;0.0;91.0
139;2-(2-Methylpropoxy)ethanol;CC(C)COCCO;45.0;0.0;45.0;0.0;0.0;0.0;0.0;90.0
118;naphthalen-2-ol;Oc1ccc2ccccc2c1;90.0;0.0;0.0;0.0;0.0;0.0;0.0;90.0
117;naphthalen-1-ol;Oc1cccc2ccccc12;90.0;0.0;0.0;0.0;0.0;0.0;0.0;90.0
146;Ethoxybenzene;CCOc1ccccc1;37.0;0.0;0.0;0.0;51.0;0.0;0.0;88.0
122;2-[2-(2-Butoxyethoxy)ethoxy]ethanol;CCCCOCCOCCOCCO;85.0;0.0;0.0;0.0;0.0;0.0;0.0;85.0
123;1,2,4-Trimethylbenzene;Cc1ccc(C)c(C)c1;84.0;0.0;0.0;0.0;0.0;0.0;0.0;84.0
141;heptan-2-ol;CCCCCC(C)O;42.0;0.0;42.0;0.0;0.0;0.0;0.0;84.0
142;benzene-1,2-diol;Oc1ccccc1O;40.0;0.0;40.0;0.0;0.0;0.0;0.0;80.0
186;1-propoxypropane;CCCOCCC;0.0;0.0;0.0;0.0;79.0;0.0;0.0;79.0
145;2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol;OCCOCCOCCOCCO;39.0;0.0;0.0;39.0;0.0;0.0;0.0;78.0
128;Hexane-1,5-diol;CC(O)CCCCO;75.0;0.0;0.0;0.0;0.0;0.0;0.0;75.0
147;2-Methylphenol;Cc1ccccc1O;32.0;4.0;32.0;0.0;0.0;0.0;0.0;68.0
133;1,2,4-Trimethylcyclohexane;CC1CCC(C)C(C)C1;66.0;0.0;0.0;0.0;0.0;0.0;0.0;66.0
132;Butylcyclohexane;CCCCC1CCCCC1;66.0;0.0;0.0;0.0;0.0;0.0;0.0;66.0
131;Ethylcyclohexane;CCC1CCCCC1;66.0;0.0;0.0;0.0;0.0;0.0;0.0;66.0
187;2,3-Dimethylbutane;CC(C)C(C)C;0.0;0.0;0.0;0.0;63.0;0.0;0.0;63.0
136;FURAN;o1cccc1;54.0;9.0;0.0;0.0;0.0;0.0;0.0;63.0
188;2,2-Dimethylbutane;CCC(C)(C)C;0.0;0.0;0.0;0.0;62.0;0.0;0.0;62.0
150;oxolan-2-ylmethanol;OCC1CCCO1;30.0;0.0;30.0;0.0;0.0;0.0;0.0;60.0
135;2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol;OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O;59.0;0.0;0.0;0.0;0.0;0.0;0.0;59.0
152;2-Ethoxy-2-methylbutane;CCOC(C)(C)CC;27.0;4.0;0.0;0.0;27.0;0.0;0.0;58.0
158;3-Phenylpropan-1-ol;OCCCc1ccccc1;24.0;0.0;0.0;0.0;34.0;0.0;0.0;58.0
154;furan-2-ylmethanol;OCc1occc1;24.0;0.0;24.0;0.0;0.0;0.0;0.0;48.0
160;(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol;OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O;24.0;0.0;24.0;0.0;0.0;0.0;0.0;48.0
162;Ethoxyethane;CCOCC;22.0;0.0;23.0;0.0;0.0;0.0;0.0;45.0
140;ETHANE;CC;44.0;0.0;0.0;0.0;0.0;0.0;0.0;44.0
143;(2S,4R)-pentane-1,2,3,4,5-pentol;OC[C@H](O)C(O)[C@H](O)CO;40.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0
144;4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhexane-1,2,3,5,6-pentol;OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO;40.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0
156;;CC(O)C(C)O;24.0;0.0;0.0;0.0;0.0;0.0;14.0;38.0
189;1-Methoxypropan-2-ol;COCC(C)O;0.0;0.0;0.0;0.0;38.0;0.0;0.0;38.0
165;2-propan-2-yloxyethanol;CC(C)OCCO;18.0;0.0;18.0;0.0;0.0;0.0;0.0;36.0
166;2-(2-methoxypropoxy)propan-1-ol;COC(C)COC(C)CO;18.0;0.0;18.0;0.0;0.0;0.0;0.0;36.0
169;1,3-di(phenyl)benzene;c1ccc(cc1)c2cccc(c2)c3ccccc3;10.0;0.0;10.0;0.0;12.0;0.0;0.0;32.0
170;1,2-di(phenyl)benzene;c1ccc(cc1)c2ccccc2c3ccccc3;10.0;0.0;10.0;0.0;12.0;0.0;0.0;32.0
149;methane;C;30.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0
148;2-[2-(2-hydroxypropoxy)propoxy]propan-1-ol;CC(O)COC(C)COC(C)CO;30.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0
153;cyclohexane-1,2,3,4,5,6-hexol;OC1C(O)C(O)C(O)C(O)C1O;25.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0
173;Octadecan-1-ol;CCCCCCCCCCCCCCCCCCO;0.0;25.0;0.0;0.0;0.0;0.0;0.0;25.0
168;Phenanthrene;c1ccc2c(c1)ccc3ccccc23;14.0;0.0;10.0;0.0;0.0;0.0;0.0;24.0
159;ANTHRACENE;c1ccc2cc3ccccc3cc2c1;24.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0
157;(2R,3S,4R,5S)-hexane-1,2,3,4,5,6-hexol;OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO;24.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0
155;;OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O;24.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0
161;PHENOL;Oc1ccccc1;23.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0
164;Propylbenzene;CCCc1ccccc1;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
171;NAPHTHALENE;c1ccc2ccccc2c1;10.0;2.0;10.0;0.0;0.0;0.0;0.0;22.0
163;Butylbenzene;CCCCc1ccccc1;22.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0
176;BUTANE;CCCC;0.0;21.0;0.0;0.0;0.0;0.0;0.0;21.0
175;PROPANE;CCC;0.0;21.0;0.0;0.0;0.0;0.0;0.0;21.0
191;;CC1CO1;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
190;2-Methylpentane;CCCC(C)C;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
167;2,5-Dimethylfuran;Cc1oc(C)cc1;18.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0
177;Pentan-3-ol;CCC(O)CC;0.0;11.0;0.0;0.0;0.0;0.0;0.0;11.0
178;3-Methylbutan-2-ol;CC(C)C(C)O;0.0;10.0;0.0;0.0;0.0;0.0;0.0;10.0
179;tetradecan-1-ol;CCCCCCCCCCCCCCO;0.0;8.0;0.0;0.0;0.0;0.0;0.0;8.0
192;1,4-di(phenyl)benzene;c1ccc(cc1)c2ccc(cc2)c3ccccc3;0.0;0.0;0.0;0.0;6.0;0.0;0.0;6.0
181;Cycloheptane;C1CCCCCC1;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0
180;Pentane;CCCCC;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0
182;Undecane;CCCCCCCCCCC;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
172;oxiran-2-ylmethanol;OCC1CO1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
183;Methylcyclopentane;CC1CCCC1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
184;1-methyl-4-propan-2-ylbenzene;CC(C)c1ccc(C)cc1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
