;InChI;Count;Component;SMILES
123;InChIKey=KXUHSQYYJYAXGZ-UHFFFAOYSA-N;200;2-methylpropylbenzene;CC(C)Cc1ccccc1
124;InChIKey=XXJWXESWEXIICW-UHFFFAOYSA-N;193;2-(2-Ethoxyethoxy)ethanol;CCOCCOCCO
125;InChIKey=FBPFZTCFMRRESA-JGWLITMVSA-N;190;(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol;OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
126;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;180;2-Methoxy-2-methylbutane;CCC(C)(C)OC
127;InChIKey=GHMLBKRAJCXXBS-UHFFFAOYSA-N;177;benzene-1,3-diol;Oc1cccc(O)c1
128;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;177;hexan-2-ol;CCCCC(C)O
129;InChIKey=VSSAZBXXNIABDN-UHFFFAOYSA-N;176;Cyclohexylmethanol;OCC1CCCCC1
130;InChIKey=QJQZRLXDLORINA-UHFFFAOYSA-N;175;2-Cyclohexylethanol;OCCC1CCCCC1
131;InChIKey=AOPDRZXCEAKHHW-UHFFFAOYSA-N;174;1-pentoxypentane;CCCCCOCCCCC
132;InChIKey=KLKFAASOGCDTDT-UHFFFAOYSA-N;173;ethoxymethoxyethane;CCOCOCC
133;InChIKey=VKPSKYDESGTTFR-UHFFFAOYSA-N;172;2,2,4,6,6-PENTAMETHYLHEPTANE;CC(CC(C)(C)C)CC(C)(C)C
134;InChIKey=OQUIHNRSFOIOFU-UHFFFAOYSA-N;166;1-methoxy-2-(2-methoxypropoxy)propane;COCC(C)OCC(C)OC
135;InChIKey=SJWFXCIHNDVPSH-UHFFFAOYSA-N;157;octan-2-ol;CCCCCCC(C)O
136;InChIKey=FHADSMKORVFYOS-UHFFFAOYSA-N;156;Cyclooctanol;OC1CCCCCCC1
137;InChIKey=JLGLQAWTXXGVEM-UHFFFAOYSA-N;153;2-[2-(2-Methoxyethoxy)ethoxy]ethanol;COCCOCCOCCO
138;InChIKey=DHKHKXVYLBGOIT-UHFFFAOYSA-N;152;1,1-Diethoxyethane;CCOC(C)OCC
139;InChIKey=SQYNKIJPMDEDEG-UHFFFAOYSA-N;132;2,4,6-Trimethyl-1,3,5-trioxane;CC1OC(C)OC(C)O1
140;InChIKey=RZJRJXONCZWCBN-UHFFFAOYSA-N;131;Octadecane;CCCCCCCCCCCCCCCCCC
141;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;129;heptan-2-ol;CCCCCC(C)O
142;InChIKey=FBPFZTCFMRRESA-KVTDHHQDSA-N;128;(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol;OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
143;InChIKey=UWHCKJMYHZGTIT-UHFFFAOYSA-N;124;2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol;OCCOCCOCCOCCO
144;InChIKey=CDAISMWEOUEBRE-UHFFFAOYSA-N;119;cyclohexane-1,2,3,4,5,6-hexol;OC1C(O)C(O)C(O)C(O)C1O
145;InChIKey=HEBKCHPVOIAQTA-SCDXWVJYSA-N;118;;OC[C@@H](O)[C@H](O)[C@@H](O)CO
146;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;118;Methoxymethane;COC
147;InChIKey=OHMBHFSEKCCCBW-UHFFFAOYSA-N;114;hexane-2,5-diol;CC(O)CCC(C)O
148;InChIKey=HEWZVZIVELJPQZ-UHFFFAOYSA-N;114;2,2-Dimethoxypropane;COC(C)(C)OC
149;InChIKey=GUBGYTABKSRVRQ-QUYVBRFLSA-N;100;(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol;OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
150;InChIKey=WFSMVVDJSNMRAR-UHFFFAOYSA-N;99;2-[2-(2-ethoxyethoxy)ethoxy]ethanol;CCOCCOCCOCCO
151;InChIKey=KJCVRFUGPWSIIH-UHFFFAOYSA-N;90;naphthalen-1-ol;Oc1cccc2ccccc12
152;InChIKey=VCLJODPNBNEBKW-UHFFFAOYSA-N;90;2,2,4,4,6,8,8-Heptamethylnonane;CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C
153;InChIKey=JWAZRIHNYRIHIV-UHFFFAOYSA-N;90;naphthalen-2-ol;Oc1ccc2ccccc2c1
154;InChIKey=HHAPGMVKBLELOE-UHFFFAOYSA-N;90;2-(2-Methylpropoxy)ethanol;CC(C)COCCO
155;InChIKey=UNXHWFMMPAWVPI-UHFFFAOYSA-N;88;butane-1,2,3,4-tetrol;OCC(O)C(O)CO
156;InChIKey=DLRJIFUOBPOJNS-UHFFFAOYSA-N;88;Ethoxybenzene;CCOc1ccccc1
