;InChI;Count;Component;SMILES
93;InChIKey=QZYHIOPPLUPUJF-UHFFFAOYSA-N;37;1-Methyl-3-nitrobenzene;Cc1cccc(c1)[N+]([O-])=O
94;InChIKey=PLAZTCDQAHEYBI-UHFFFAOYSA-N;37;1-Methyl-2-nitrobenzene;Cc1ccccc1[N+]([O-])=O
95;InChIKey=IBSQPLPBRSHTTG-UHFFFAOYSA-N;36;1-Chloro-2-methylbenzene;Cc1ccccc1Cl
96;InChIKey=KWKAKUADMBZCLK-UHFFFAOYSA-N;35;oct-1-ene;CCCCCCC=C
97;InChIKey=YKYONYBAUNKHLG-UHFFFAOYSA-N;35;Propyl acetate;CCCOC(C)=O
98;InChIKey=TZIHFWKZFHZASV-UHFFFAOYSA-N;34;METHYL FORMATE;COC=O
99;InChIKey=DCAYPVUWAIABOU-UHFFFAOYSA-N;32;HEXADECANE;CCCCCCCCCCCCCCCC
100;InChIKey=CYTYCFOTNPOANT-UHFFFAOYSA-N;32;1,1,2,2-Tetrachloroethene;ClC(Cl)=C(Cl)Cl
101;InChIKey=WSLDOOZREJYCGB-UHFFFAOYSA-N;32;['1,2-dichloroethane', '1,2-dichloroethyne'];ClCCCl
102;InChIKey=AFFLGGQVNFXPEV-UHFFFAOYSA-N;32;Dec-1-ene;CCCCCCCCC=C
103;InChIKey=LIKMAJRDDDTEIG-UHFFFAOYSA-N;32;hex-1-ene;CCCCC=C
104;InChIKey=BHRZNVHARXXAHW-UHFFFAOYSA-N;31;butan-2-amine;CCC(C)N
105;InChIKey=ZWEHNKRNPOVVGH-UHFFFAOYSA-N;30;butan-2-one;CCC(C)=O
106;InChIKey=PBKONEOXTCPAFI-UHFFFAOYSA-N;29;1,2,4-trichlorobenzene;Clc1ccc(Cl)c(Cl)c1
107;InChIKey=KXKVLQRXCPHEJC-UHFFFAOYSA-N;28;METHYL ACETATE;COC(C)=O
108;InChIKey=PAYRUJLWNCNPSJ-UHFFFAOYSA-N;28;Aniline;Nc1ccccc1
109;InChIKey=RFFLAFLAYFXFSW-UHFFFAOYSA-N;28;1,2-Dichlorobenzene;Clc1ccccc1Cl
110;InChIKey=JJWLVOIRVHMVIS-UHFFFAOYSA-N;24;propan-2-amine;CC(C)N
111;InChIKey=ZSIQJIWKELUFRJ-UHFFFAOYSA-N;23;azepane;C1CCCNCC1
112;InChIKey=NTIZESTWPVYFNL-UHFFFAOYSA-N;23;4-Methylpentan-2-one;CC(C)CC(C)=O
113;InChIKey=IOQPZZOEVPZRBK-UHFFFAOYSA-N;22;octan-1-amine;CCCCCCCCN
114;InChIKey=XNLICIUVMPYHGG-UHFFFAOYSA-N;22;Pentan-2-one;CCCC(C)=O
115;InChIKey=HQABUPZFAYXKJW-UHFFFAOYSA-N;21;butan-1-amine;CCCCN
116;InChIKey=FDPIMTJIUBPUKL-UHFFFAOYSA-N;20;pentan-3-one;CCC(=O)CC
117;InChIKey=NISGSNTVMOOSJQ-UHFFFAOYSA-N;20;Cyclopentanamine;NC1CCCC1
118;InChIKey=COBPKKZHLDDMTB-UHFFFAOYSA-N;19;2-[2-(2-Butoxyethoxy)ethoxy]ethanol;CCCCOCCOCCOCCO
119;InChIKey=WFSMVVDJSNMRAR-UHFFFAOYSA-N;19;2-[2-(2-ethoxyethoxy)ethoxy]ethanol;CCOCCOCCOCCO
120;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;19;2-Methoxy-2-methylbutane;CCC(C)(C)OC
121;InChIKey=DJCYDDALXPHSHR-UHFFFAOYSA-N;19;2-(2-Propoxyethoxy)ethanol;CCCOCCOCCO
122;InChIKey=JLGLQAWTXXGVEM-UHFFFAOYSA-N;19;2-[2-(2-Methoxyethoxy)ethoxy]ethanol;COCCOCCOCCO
123;InChIKey=UUIQMZJEGPQKFD-UHFFFAOYSA-N;19;Methyl butanoate;CCCC(=O)OC
124;InChIKey=OAYXUHPQHDHDDZ-UHFFFAOYSA-N;19;2-(2-Butoxyethoxy)ethanol;CCCCOCCOCCO
125;InChIKey=DPBLXKKOBLCELK-UHFFFAOYSA-N;18;pentan-1-amine;CCCCCN
126;InChIKey=KDSNLYIMUZNERS-UHFFFAOYSA-N;18;2-methylpropan-1-amine;CC(C)CN
127;InChIKey=HBGGBCVEFUPUNY-UHFFFAOYSA-N;17;Cyclododecanamine;NC1CCCCCCCCCCC1
128;InChIKey=YFTHZRPMJXBUME-UHFFFAOYSA-N;17;N,N-dipropylpropan-1-amine;CCCN(CCC)CCC
129;InChIKey=VXVVUHQULXCUPF-UHFFFAOYSA-N;16;Cycloheptanamine;NC1CCCCCC1
