;InChI;Count;Component;SMILES
202;InChIKey=HPXRVTGHNJAIIH-UHFFFAOYSA-N;5;Cyclohexanol;OC1CCCCC1
203;InChIKey=NQRYJNQNLNOLGT-UHFFFAOYSA-N;5;Piperidine;C1CCNCC1
204;InChIKey=SOYBEXQHNURCGE-UHFFFAOYSA-N;5;3-ethoxypropan-1-amine;CCOCCCN
205;InChIKey=XBDQKXXYIPTUBI-UHFFFAOYSA-N;5;Propanoic acid;CCC(O)=O
206;InChIKey=DOGIHOCMZJUJNR-UHFFFAOYSA-N;5;4-Methyloctane;CCCCC(C)CCC
207;InChIKey=WMOVHXAZOJBABW-UHFFFAOYSA-N;4;tert-Butyl acetate;CC(=O)OC(C)(C)C
208;InChIKey=RFFLAFLAYFXFSW-UHFFFAOYSA-N;4;1,2-Dichlorobenzene;Clc1ccccc1Cl
209;InChIKey=QPJVMBTYPHYUOC-UHFFFAOYSA-N;4;Methyl benzoate;COC(=O)c1ccccc1
210;InChIKey=PBKONEOXTCPAFI-UHFFFAOYSA-N;4;1,2,4-trichlorobenzene;Clc1ccc(Cl)c(Cl)c1
211;InChIKey=UZKWTJUDCOPSNM-UHFFFAOYSA-N;4;1-ethenoxybutane;CCCCOC=C
212;InChIKey=PNPCRKVUWYDDST-UHFFFAOYSA-N;4;3-Chloroaniline;Nc1cccc(Cl)c1
213;InChIKey=YEJRWHAVMIAJKC-UHFFFAOYSA-N;4;oxolan-2-one;O=C1CCCO1
214;InChIKey=RWGFKTVRMDUZSP-UHFFFAOYSA-N;4;;CC(C)c1ccccc1
215;InChIKey=PYLWMHQQBFSUBP-UHFFFAOYSA-N;4;Fluorobenzene;Fc1ccccc1
216;InChIKey=PLAZTCDQAHEYBI-UHFFFAOYSA-N;4;1-Methyl-2-nitrobenzene;Cc1ccccc1[N+]([O-])=O
217;InChIKey=QZYHIOPPLUPUJF-UHFFFAOYSA-N;4;1-Methyl-3-nitrobenzene;Cc1cccc(c1)[N+]([O-])=O
218;InChIKey=PAPBSGBWRJIAAV-UHFFFAOYSA-N;4;oxepan-2-one;O=C1CCCCCO1
219;InChIKey=HGCIXCUEYOPUTN-UHFFFAOYSA-N;4;Cyclohexene;C1CCC=CC1
220;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;4;2-Methyloxolane;CC1CCCO1
