;InChI;Count;Component;SMILES
129;InChIKey=UNVGBIALRHLALK-UHFFFAOYSA-N;6;Hexane-1,5-diol;CC(O)CCCCO
130;InChIKey=OHMBHFSEKCCCBW-UHFFFAOYSA-N;6;hexane-2,5-diol;CC(O)CCC(C)O
131;InChIKey=COBPKKZHLDDMTB-UHFFFAOYSA-N;6;2-[2-(2-Butoxyethoxy)ethoxy]ethanol;CCCCOCCOCCOCCO
132;InChIKey=WGKZYJXRTIPTCV-UHFFFAOYSA-N;5;2-butoxypropan-1-ol;CCCCOC(C)CO
133;InChIKey=XXJWXESWEXIICW-UHFFFAOYSA-N;5;2-(2-Ethoxyethoxy)ethanol;CCOCCOCCO
134;InChIKey=OCKPCBLVNKHBMX-UHFFFAOYSA-N;5;Butylbenzene;CCCCc1ccccc1
135;InChIKey=RWNUSVWFHDHRCJ-UHFFFAOYSA-N;5;1-Butoxypropan-2-ol;CCCCOCC(C)O
136;InChIKey=SZXQTJUDPRGNJN-UHFFFAOYSA-N;5;3-(3-hydroxypropoxy)propan-1-ol;OCCCOCCCO
137;InChIKey=JOLQKTGDSGKSKJ-UHFFFAOYSA-N;5;1-Ethoxypropan-2-ol;CCOCC(C)O
138;InChIKey=WAPNOHKVXSQRPX-UHFFFAOYSA-N;5;1-Phenylethanol;CC(O)c1ccccc1
139;InChIKey=WCVRQHFDJLLWFE-UHFFFAOYSA-N;5;Pentane-1,2-diol;CCCC(O)CO
140;InChIKey=CBFCDTFDPHXCNY-UHFFFAOYSA-N;5;Icosane;CCCCCCCCCCCCCCCCCCCC
141;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;4;2-Propoxyethanol;CCCOCCO
142;InChIKey=DLRJIFUOBPOJNS-UHFFFAOYSA-N;4;Ethoxybenzene;CCOc1ccccc1
143;InChIKey=DHKHKXVYLBGOIT-UHFFFAOYSA-N;3;1,1-Diethoxyethane;CCOC(C)OCC
144;InChIKey=OWBTYPJTUOEWEK-UHFFFAOYSA-N;3;;CC(O)C(C)O
145;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;3;Pentan-3-ol;CCC(O)CC
146;InChIKey=KXUHSQYYJYAXGZ-UHFFFAOYSA-N;3;2-methylpropylbenzene;CC(C)Cc1ccccc1
147;InChIKey=ZOCHHNOQQHDWHG-UHFFFAOYSA-N;3;Hexan-3-ol;CCCC(O)CC
148;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;3;2-Methoxy-2-methylbutane;CCC(C)(C)OC
149;InChIKey=HEWZVZIVELJPQZ-UHFFFAOYSA-N;3;2,2-Dimethoxypropane;COC(C)(C)OC
150;InChIKey=SQYNKIJPMDEDEG-UHFFFAOYSA-N;3;2,4,6-Trimethyl-1,3,5-trioxane;CC1OC(C)OC(C)O1
151;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;3;Methylcyclopentane;CC1CCCC1
152;InChIKey=WVYWICLMDOOCFB-UHFFFAOYSA-N;3;4-Methylpentan-2-ol;CC(C)CC(C)O
153;InChIKey=WFRBDWRZVBPBDO-UHFFFAOYSA-N;3;2-Methylpentan-2-ol;CCCC(C)(C)O
154;InChIKey=PFNHSEQQEPMLNI-UHFFFAOYSA-N;3;2-Methylpentan-1-ol;CCCC(C)CO
