;Mixture;Count;x1;x2;SMILES1;SMILES2
303;2-methoxyethanol__ethanol, 2-ethoxy-;44;2-methoxyethanol;ethanol, 2-ethoxy-;COCCO;CCOCCO
305;n-propyl alcohol__isobutyl alcohol;44;n-propyl alcohol;isobutyl alcohol;CCCO;CC(C)CO
327;ethanol__hexane;39;ethanol;hexane;CCO;CCCCCC
329;cyclohexane__2-pentanol;39;cyclohexane;2-pentanol;C1CCCCC1;CCCC(C)O
330;ethanol__cyclopentane;39;ethanol;cyclopentane;CCO;C1CCCC1
331;2-propanol__cyclopentane;39;2-propanol;cyclopentane;CC(C)O;C1CCCC1
333;cyclopentane__2-pentanol;39;cyclopentane;2-pentanol;C1CCCC1;CCCC(C)O
334;1-butanol__cyclopentane;39;1-butanol;cyclopentane;CCCCO;C1CCCC1
335;2-methyl-2-butanol__tetrahydrofuran;39;2-methyl-2-butanol;tetrahydrofuran;CCC(C)(C)O;C1CCOC1
337;cyclohexane__heptane;39;cyclohexane;heptane;C1CCCCC1;CCCCCCC
341;2-methyl-2-propanol__tert-butyl ethyl ether;39;2-methyl-2-propanol;tert-butyl ethyl ether;CC(C)(C)O;CCOC(C)(C)C
343;2,2,4-trimethylpentane__tert-butyl ethyl ether;39;2,2,4-trimethylpentane;tert-butyl ethyl ether;CC(C)CC(C)(C)C;CCOC(C)(C)C
344;ethanol__tert-butyl ethyl ether;39;ethanol;tert-butyl ethyl ether;CCO;CCOC(C)(C)C
357;methylcyclohexane__3-methyl-1-butanol;33;methylcyclohexane;3-methyl-1-butanol;CC1CCCCC1;CC(C)CCO
362;2-methyl-1-propanol__methylcyclohexane;33;2-methyl-1-propanol;methylcyclohexane;CC(C)CO;CC1CCCCC1
373;1-butanol__methylcyclohexane;33;1-butanol;methylcyclohexane;CCCCO;CC1CCCCC1
377;1-propanol__methylcyclohexane;33;1-propanol;methylcyclohexane;CCCO;CC1CCCCC1
378;2-propanol__methylcyclohexane;33;2-propanol;methylcyclohexane;CC(C)O;CC1CCCCC1
380;1-propanol__isopropyl ether;32;1-propanol;isopropyl ether;CCCO;CC(C)OC(C)C
393;propan-1-ol__water;30;propan-1-ol;water;CCCO;O
402;1-butanol__2-methyltetrahydrofuran;27;1-butanol;2-methyltetrahydrofuran;CCCCO;CC1CCCO1
420;1-pentanol__cyclopentane;26;1-pentanol;cyclopentane;CCCCCO;C1CCCC1
423;n-propyl alcohol__water;25;n-propyl alcohol;water;CCCO;O
436;2-ethoxyethanol__water;24;2-ethoxyethanol;water;CCOCCO;O
437;ethanol__isopropyl ether;24;ethanol;isopropyl ether;CCO;CC(C)OC(C)C
456;heptane__cyclooctane;22;heptane;cyclooctane;CCCCCCC;C1CCCCCCC1
458;1-propanol__1-pentanol;22;1-propanol;1-pentanol;CCCO;CCCCCO
466;1-propanol__tert-amyl methyl ether;21;1-propanol;tert-amyl methyl ether;CCCO;CCC(C)(C)OC
469;ethylene glycol methyl ether__water;21;ethylene glycol methyl ether;water;COCCO;O
475;1-pentanol__2-methyl-1-propanol;19;1-pentanol;2-methyl-1-propanol;CCCCCO;CC(C)CO
476;hexane__ether, methyl tert-pentyl;19;hexane;ether, methyl tert-pentyl;CCCCCC;CCC(C)(C)OC
477;1-propanol__2-methyl-1-butanol;19;1-propanol;2-methyl-1-butanol;CCCO;CCC(C)CO
478;2-methyl-1-propanol__3-methyl-1-butanol;19;2-methyl-1-propanol;3-methyl-1-butanol;CC(C)CO;CC(C)CCO
479;methanol__2-methyl-1-butanol;19;methanol;2-methyl-1-butanol;CO;CCC(C)CO
480;1-propanol__3-methyl-1-butanol;19;1-propanol;3-methyl-1-butanol;CCCO;CC(C)CCO
481;2-methyl-1-propanol__2-methyl-1-butanol;19;2-methyl-1-propanol;2-methyl-1-butanol;CC(C)CO;CCC(C)CO
482;1-propanol__tert-butyl ethyl ether;19;1-propanol;tert-butyl ethyl ether;CCCO;CCOC(C)(C)C
484;2-isopropoxyethanol__water;18;2-isopropoxyethanol;water;CC(C)OCCO;O
489;methanol__dioxane;16;methanol;dioxane;CO;C1COCCO1
491;2-methyl-1-propanol__hexane;16;2-methyl-1-propanol;hexane;CC(C)CO;CCCCCC
495;methane__pentane;15;methane;pentane;C;CCCCC
502;isopropyl ether__2,2,4-trimethylpentane;13;isopropyl ether;2,2,4-trimethylpentane;CC(C)OC(C)C;CC(C)CC(C)(C)C
505;ethanol__oxane;13;ethanol;oxane;CCO;C1CCOCC1
517;1,3-dioxolane__water;12;1,3-dioxolane;water;C1COCO1;O
