;Mixture;Count
384;propyl propanoate__heptadecane;17
385;propyl propanoate__tridecane;17
386;methyl sulfoxide__3-phenyl-1-propanol;17
387;methyl methanoate__pentane;17
388;2-methyl-1-propanol__1-methyl-1-(1-methylethoxy)ethane;17
389;propyl propanoate__pentadecane;16
390;1,2-dichloroethane__butyl formate;16
391;methyl methanoate__1,3-dichloropropane;16
392;propyl propanoate__nonane;16
393;butyl formate__1,6-dichlorohexane;16
394;ethyl butanoate__1,3-dichloropropane;16
395;methyl sulfoxide__toluene;16
396;1-propanol__heptane;16
397;methyl sulfoxide__tetrachloroethene;16
398;1,3-dichloropropane__ethyl pentanoate;16
399;butyl propanoate__tridecane;16
400;toluene__hexane;16
401;ethyl propanoate__heptadecane;16
402;ethyl butanoate__1,4-dichlorobutane;16
403;1,4-dibromobutane__ethyl ethanoate;16
404;butyl formate__1,5-dichloropentane;16
405;ethyl methanoate__1,3-dichloropropane;16
406;toluene__(2-chloroethyl)benzene;16
407;cyclohexanone__N-methyl-2-pyrrolidone;16
408;propan-1-ol__diethyl carbonate;16
409;ethyl propanoate__1,6-dibromohexane;16
410;benzene__butanenitrile;16
411;amyl propionate__undecane;16
412;amyl propionate__pentadecane;16
413;1,2-dichloroethane__ethyl methanoate;16
414;ethyl pentanoate__1,6-dibromohexane;16
415;tert-amyl alcohol__furfural;16
416;3-methyl-1-butanol__N-methyl-2-pyrrolidone;16
417;1,2-dichloroethane__ethyl pentanoate;16
418;cyclohexane__octane;16
419;pentan-1-ol__diethyl carbonate;16
420;3-diethylaminopropylamine__hexane;16
421;1,5-dibromopentane__ethyl pentanoate;16
422;1-butanol__octane;16
423;propylbenzene__(2-chloroethyl)benzene;16
424;methyl sulfoxide__nitrobenzene;16
425;propyl propanoate__undecane;16
426;methyl ethanoate__1,4-dibromobutane;16
427;heptane__amyl propionate;16
428;propyl ethanoate__heptane;15
429;1-methylpiperazine__water;15
430;1,2-dichloroethane__methyl methanoate;15
431;propyl ethanoate__1,6-dichlorohexane;15
432;o-chlorotoluene__tetrahydropyran;15
433;methyl ethanoate__1,5-dibromopentane;15
434;propyl acetate__n-pentane;15
435;methyl propanoate__1,6-dibromohexane;15
436;benzene__chlorobenzene;15
437;butanone__N-methyl-2-pyrrolidone;15
438;ethanol__decane;15
439;ethyl methanoate__1,5-dichloropentane;15
440;ethyl methanoate__1,4-dichlorobutane;15
441;1-propanol__nonane;15
442;ethanol__nonane;15
443;1,4-dichlorobutane__butyl formate;15
444;acetophenone__propene;15
445;butylbenzene__(2-chloroethyl)benzene;15
446;ethanol__diethyl carbonate;15
447;methyl methanoate__1,5-dichloropentane;15
448;methyl methanoate__1,6-dibromohexane;15
449;ethyl methanoate__1,6-dibromohexane;15
450;2-methyl-1-propanol__N-methyl-2-pyrrolidone;15
451;amyl propionate__heptadecane;15
452;butan-2-ol__cyclohexyl alcohol;15
453;diethyl carbonate__1-octanol;15
454;1,2-dichloroethane__amyl formate;15
455;ethyl methanoate__1,6-dichlorohexane;15
456;benzene, (3-chloropropyl)-__toluene;15
457;1,4-dibromobutane__butyl ethanoate;15
458;methyl ethanoate__1,6-dibromohexane;15
459;ethyl butanoate__1,6-dichlorohexane;15
460;1,2-dimethylbenzene__dibutyl ether;15
461;ethyl ethanoate__valeric acid, ethyl ester;15
462;1,3-dichloropropane__butyl formate;15
463;1,3-dibromopropane__ethyl methanoate;15
464;butyl ethanoate__1,6-dibromohexane;15
465;toluene__N-methylformamide;15
466;1,2-dibromoethane__methyl methanoate;14
467;methyl methanoate__1,6-dichlorohexane;14
468;n-hexane__tetrahydropyran;14
469;propyl butanoate__1,5-dichloropentane;14
470;methyl methanoate__1,3-dibromopropane;14
471;ethanol__2-pyrrolidinone;14
472;phenylmethylamine__tetrahydropyran;14
473;carbon tetrachloride__ethyl cyanide;14
474;ethylbenzene__benzene, (3-chloropropyl)-;14
475;4-methyl-2-pentanone__N-methyl-2-pyrrolidone;14
476;benzene__N-methylacetamide;14
477;2-methylaniline__tetrahydropyran;14
478;benzene__N-methylformamide;14
479;propyl acetate__n-nonane;14
480;aniline__chloroform;14
481;2-propanol__2-pyrrolidinone;14
482;propyl acetate__heptane;14
483;1-propanol__2-pyrrolidinone;14
484;2-methylaniline__hexane;14
485;benzene__tetrahydropyran;14
486;1,2-dibromoethane__methyl butanoate;14
487;benzene__2-methyl-1-propanol;14
488;toluene__tetrahydropyran;14
489;amyl formate__1,6-dichlorohexane;14
490;chloroform__2-methylaniline;14
491;2-methyl-2-propanol__N-methyl-2-pyrrolidone;14
492;butyl butanoate__1,5-dibromopentane;14
493;butyl propanoate__1,6-dibromohexane;14
494;ethyl ethanoate__1,6-dichlorohexane;14
495;tetrahydropyran__heptane;14
496;1,2-dimethylbenzene__tetrahydropyran;14
497;aniline__methyl pentyl ketone;14
498;1,1,2,2-tetrachloroethane__heptane;14
499;methyl sulfoxide__trichloroethylene;14
500;methyl methanoate__1,5-dibromopentane;14
501;1,5-dichloropentane__amyl formate;14
502;cyclohexane__N-methyl-2-pyrrolidone;14
503;acetic acid__ethyl acetate;14
504;1,4-dimethylbenzene__tetrahydropyran;14
505;benzyl chloride__butylbenzene;14
506;ethanol__acetic acid;14
507;1,1,2,2-tetrachloroethane__tert-butylbenzene;14
508;benzene__N-methyl-2-pyrrolidone;14
509;1,1,2,2-tetrachloroethane__butylbenzene;14
510;1,5-dibromopentane__butyl ethanoate;14
511;1,3-dimethylbenzene__tetrahydropyran;14
512;aniline__tetrahydropyran;14
513;1,4-dichlorobutane__amyl formate;14
514;2-methylaniline__heptane;14
515;1,4-dibromobutane__ethyl pentanoate;14
516;1,5-dibromopentane__methyl pentanoate;14
517;1,3-dichloropropane__amyl formate;14
518;toluene__N-methyl-2-pyrrolidone;14
519;2-methylaniline__cyclohexane;14
520;N,N-diethylethylenediamine__heptane;13
521;propyl butanoate__1,3-dichloropropane;13
522;butyl butanoate__1,6-dibromohexane;13
523;propyl propanoate__1,5-dichloropentane;13
524;1,2-dibromoethane__butyl methanoate;13
525;propyl propanoate__1,2-dichloroethane;13
526;2,6-dimethylpyridine__toluene;13
527;1,4-dibromobutane__butyl methanoate;13
528;1,2-dibromoethane__butyl propanoate;13
529;1,2-dichloroethane__propyl ethanoate;13
530;2-methyl-1-propanol__2-pyrrolidinone;13
531;1,3-dibromopropane__methyl butanoate;13
532;1,2-dibromoethane__butyl ethanoate;13
533;1,2-dibromoethane__methyl pentanoate;13
534;propyl ethanoate__1-hexene;13
535;methyl methanoate__1,4-dichlorobutane;13
536;1,3-dibromopropane__butyl propanoate;13
537;1,4-dibromobutane__methyl pentanoate;13
538;1,1,2,2-tetrachloroethane__propylbenzene;13
539;methyl pentanoate__1,6-dibromohexane;13
540;carbon tetrachloride__pentane;13
541;propyl ethanoate__1,4-dichlorobutane;13
542;1,3-dibromopropane__butyl methanoate;13
543;propyl butanoate__1,6-dichlorohexane;13
544;2,6-dimethylpyridine__heptane;13
545;2-methyl-2-propanol__2-pyrrolidinone;13
546;N-methylacetamide__toluene;13
547;propyl ethanoate__1,3-dichloropropane;13
548;n-butyl alcohol__cyclohexyl alcohol;13
549;1,1,2,2-tetrachloroethane__isopropylbenzene;13
550;carbon tetrachloride__hexane;13
551;benzene__1,1,2,2-tetrachloroethane;13
552;1-butanol__1-methyl-1-(1-methylethoxy)ethane;13
553;propyl butanoate__1,2-dichloroethane;13
