;Mixture;Count;x1;x2;SMILES1;SMILES2
696;2-methyl-2-propanol__2-methyltetrahydrofuran;26;2-methyl-2-propanol;2-methyltetrahydrofuran;CC(C)(C)O;CC1CCCO1
703;n-propyl alcohol__water;25;n-propyl alcohol;water;CCCO;O
704;methylcyclohexane__2-pentanol;24;methylcyclohexane;2-pentanol;CC1CCCCC1;CCCC(C)O
706;2-ethoxyethanol__water;24;2-ethoxyethanol;water;CCOCCO;O
710;methylcyclohexane__2-heptanol;24;methylcyclohexane;2-heptanol;CC1CCCCC1;CCCCCC(C)O
712;isobutanol__water;24;isobutanol;water;CC(C)CO;O
714;methylcyclohexane__2-hexanol;24;methylcyclohexane;2-hexanol;CC1CCCCC1;CCCCC(C)O
717;ethane, 1,1'-oxybis-__1,3-dioxolane;23;ethane, 1,1'-oxybis-;1,3-dioxolane;CCOCC;C1COCO1
719;diisopropyl__tetrahydrofuran;23;diisopropyl;tetrahydrofuran;CC(C)C(C)C;C1CCOC1
720;neohexane__tetrahydrofuran;23;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1
721;heptane__cyclooctane;22;heptane;cyclooctane;CCCCCCC;C1CCCCCCC1
726;ethane, 1,1'-oxybis-__pentan-1-ol;22;ethane, 1,1'-oxybis-;pentan-1-ol;CCOCC;CCCCCO
730;2-methoxyethanol__1,3-dioxolane;22;2-methoxyethanol;1,3-dioxolane;COCCO;C1COCO1
731;1-propanol__1-pentanol;22;1-propanol;1-pentanol;CCCO;CCCCCO
738;pentan-1-ol__1,3-dioxolane;22;pentan-1-ol;1,3-dioxolane;CCCCCO;C1COCO1
740;ethanol, 2-ethoxy-__1,3-dioxolane;22;ethanol, 2-ethoxy-;1,3-dioxolane;CCOCCO;C1COCO1
748;methanol__tetrahydrofuran;21;methanol;tetrahydrofuran;CO;C1CCOC1
759;2,3-dimethylbutane__ether, dipropyl;20;2,3-dimethylbutane;ether, dipropyl;CC(C)C(C)C;CCCOCCC
761;1-pentanol__tetrahydropyran;20;1-pentanol;tetrahydropyran;CCCCCO;C1CCOCC1
764;tetramethylene oxide__dipropyl ether;20;tetramethylene oxide;dipropyl ether;C1CCOC1;CCCOCCC
769;1-propanol__tert-butyl ethyl ether;19;1-propanol;tert-butyl ethyl ether;CCCO;CCOC(C)(C)C
779;ethanol__tetrahydropyran;19;ethanol;tetrahydropyran;CCO;C1CCOCC1
781;2-methyl-1-propanol__2-methyl-1-butanol;19;2-methyl-1-propanol;2-methyl-1-butanol;CC(C)CO;CCC(C)CO
782;1-butanol__methoxymethane;19;1-butanol;methoxymethane;CCCCO;COC
784;1,1-diethoxyethane__cyclohexane;19;1,1-diethoxyethane;cyclohexane;CCOC(C)OCC;C1CCCCC1
790;1-propanol__methoxymethane;19;1-propanol;methoxymethane;CCCO;COC
792;butane, 2,2-dimethyl-__ether, dipropyl;19;butane, 2,2-dimethyl-;ether, dipropyl;CCC(C)(C)C;CCCOCCC
795;propane__methoxymethane;19;propane;methoxymethane;CCC;COC
800;2-methyl-1-propanol__3-methyl-1-butanol;19;2-methyl-1-propanol;3-methyl-1-butanol;CC(C)CO;CC(C)CCO
802;ethanol__methoxymethane;19;ethanol;methoxymethane;CCO;COC
804;methanol__methoxymethane;19;methanol;methoxymethane;CO;COC
805;1-pentanol__2-methyl-1-propanol;19;1-pentanol;2-methyl-1-propanol;CCCCCO;CC(C)CO
806;3-methylpentane__isopropyl ether;19;3-methylpentane;isopropyl ether;CCC(C)CC;CC(C)OC(C)C
818;3-methyl-2-butanol__water;18;3-methyl-2-butanol;water;CC(C)C(C)O;O
820;1-pentanol__hexane;18;1-pentanol;hexane;CCCCCO;CCCCCC
821;isopropyl ether__heptane;18;isopropyl ether;heptane;CC(C)OC(C)C;CCCCCCC
822;isopropyl ether__hexane;18;isopropyl ether;hexane;CC(C)OC(C)C;CCCCCC
832;2-methyl-1-propanol__1-methyl-1-(1-methylethoxy)ethane;17;2-methyl-1-propanol;1-methyl-1-(1-methylethoxy)ethane;CC(C)CO;CC(C)OC(C)C
842;tert-pentyl alcohol__water;16;tert-pentyl alcohol;water;CCC(C)(C)O;O
843;methanol__dioxane;16;methanol;dioxane;CO;C1COCCO1
844;isopropyl ether__cyclohexane;16;isopropyl ether;cyclohexane;CC(C)OC(C)C;C1CCCCC1
850;methane__pentane;15;methane;pentane;C;CCCCC
851;1-butanol, 3-methyl-__water;15;1-butanol, 3-methyl-;water;CC(C)CCO;O
862;ethanol__oxane;13;ethanol;oxane;CCO;C1CCOCC1
863;pentan-2-ol__water;13;pentan-2-ol;water;CCCC(C)O;O
872;1-butanol__1-methyl-1-(1-methylethoxy)ethane;13;1-butanol;1-methyl-1-(1-methylethoxy)ethane;CCCCO;CC(C)OC(C)C
878;methylcyclohexane__cyclohexane;12;methylcyclohexane;cyclohexane;CC1CCCCC1;C1CCCCC1
879;1-methyl-1-(1-methylethoxy)ethane__heptane;12;1-methyl-1-(1-methylethoxy)ethane;heptane;CC(C)OC(C)C;CCCCCCC
880;1,3-dioxolane__water;12;1,3-dioxolane;water;C1COCO1;O
882;1-butanol__methane;12;1-butanol;methane;CCCCO;C
885;2-propanol__methane;12;2-propanol;methane;CC(C)O;C
890;ethanol__tetrahydrofuran;11;ethanol;tetrahydrofuran;CCO;C1CCOC1
894;3-methyl-1-butanol__water;11;3-methyl-1-butanol;water;CC(C)CCO;O
895;tetrahydropyran__1-hexanol;11;tetrahydropyran;1-hexanol;C1CCOCC1;CCCCCCO
901;1-butanol__tetrahydrofuran;11;1-butanol;tetrahydrofuran;CCCCO;C1CCOC1
903;1-hexanol__cyclopentane;11;1-hexanol;cyclopentane;CCCCCCO;C1CCCC1
