;filename;x1;x2;SMILES1;SMILES2;cas1;cas2;InChI1;InChI2;components;Mole fraction;Temperature, K;Pressure, kPa;Excess molar heat capacity, J/K/mol;Excess molar heat capacity, J/K/mol_std
106169;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1826;343.15;101.0;-1.15;-0.0115
106170;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1826;348.15;101.0;-1.28;-0.0128
106171;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.1826;353.15;101.0;-1.36;-0.0136
106172;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.2497;293.15;101.0;0.127;0.00127
106173;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.2497;298.15;101.0;0.093;0.00093
106174;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.2497;303.15;101.0;0.025;0.00025
106175;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.2497;308.15;101.0;-0.14;-0.0014
106176;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.2497;313.15;101.0;-0.173;-0.00173
106177;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.2497;318.15;101.0;-0.406;-0.00406
106178;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.2497;323.15;101.0;-0.493;-0.00493
106179;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.2497;328.15;101.0;-0.671;-0.00671
106180;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.2497;333.15;101.0;-0.844;-0.00844
106181;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.2497;338.15;101.0;-1.06;-0.0106
106182;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.2497;343.15;101.0;-1.19;-0.0119
106183;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.2497;348.15;101.0;-1.42;-0.0142
106184;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.2497;353.15;101.0;-1.52;-0.0152
106185;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.3244;293.15;101.0;0.089;0.00089
106186;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.3244;298.15;101.0;0.016;0.00016
106187;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.3244;303.15;101.0;-0.041;-0.00041
106188;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.3244;308.15;101.0;-0.212;-0.00212
106189;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.3244;313.15;101.0;-0.257;-0.00257
106190;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.3244;318.15;101.0;-0.496;-0.00496
106191;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.3244;323.15;101.0;-0.537;-0.00537
106192;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.3244;328.15;101.0;-0.676;-0.00676
106193;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.3244;333.15;101.0;-0.913;-0.00913
106194;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.3244;338.15;101.0;-1.11;-0.0111
106195;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.3244;343.15;101.0;-1.19;-0.0119
106196;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.3244;348.15;101.0;-1.32;-0.0132
106197;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.3244;353.15;101.0;-1.52;-0.0152
106198;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.4968;293.15;101.0;-0.008;-8e-05
106199;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.4968;298.15;101.0;-0.027;-0.00027
106200;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.4968;303.15;101.0;-0.104;-0.00104
106201;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.4968;308.15;101.0;-0.197;-0.00197
